mol_id,atom_type,atom_index,shift
9,6,0,101.24
9,6,1,18.8
9,6,4,52.31
9,6,5,52.31
9,1,6,4.568
9,1,7,1.281
9,1,8,1.281
9,1,9,1.281
9,1,10,3.309
9,1,11,3.309
9,1,12,3.309
9,1,13,3.309
9,1,14,3.309
9,1,15,3.309
10,6,1,139.5
10,6,2,125.14
10,6,3,126.86
10,6,4,123.03
10,6,5,14.95
10,1,6,6.754
10,1,7,6.89
10,1,8,7.07
10,1,9,2.495
10,1,10,2.495
10,1,11,2.495
11,6,0,8.77
11,6,1,109.35
11,6,2,109.35
11,1,5,3.604
11,1,6,3.604
12,6,0,155.92
12,6,2,65.05
12,6,3,65.05
12,1,6,4.541
12,1,7,4.541
12,1,8,4.541
12,1,9,4.541
13,6,1,25.5
13,6,2,25.5
13,6,3,14.8
13,6,4,14.8
13,1,5,2.547
13,1,6,2.547
13,1,7,2.547
13,1,8,2.547
13,1,9,1.256
13,1,10,1.256
13,1,11,1.256
13,1,12,1.256
13,1,13,1.256
13,1,14,1.256
14,6,0,119.33
14,6,1,119.33
14,6,2,114.26
14,6,3,114.26
14,1,6,6.295
14,1,7,6.295
15,6,0,168.39
15,6,1,44.36
15,6,2,68.12
15,6,4,20.58
15,1,6,3.083
15,1,7,3.56
15,1,8,4.704
15,1,9,1.563
15,1,10,1.563
15,1,11,1.563
16,6,1,40.53
16,6,2,40.53
16,6,3,119.36
16,1,5,2.853
16,1,6,2.853
16,1,7,2.853
16,1,8,2.853
16,1,9,2.853
16,1,10,2.853
0,6,0,30.48
0,6,2,128.9
0,1,4,3.325
0,1,5,3.325
0,1,6,3.325
19,6,0,165.18
19,6,2,147.66
19,6,3,42.4
19,6,5,87.06
19,1,6,3.897
19,1,7,3.897
19,1,8,4.877
19,1,9,4.494
20,6,0,42.5
20,6,1,23.44
20,6,2,23.44
20,6,3,23.44
20,6,4,205.83
20,1,6,1.08
20,1,7,1.08
20,1,8,1.08
20,1,9,1.08
20,1,10,1.08
20,1,11,1.08
20,1,12,1.08
20,1,13,1.08
20,1,14,1.08
20,1,15,9.48
21,6,0,113.64
21,6,1,142.46
21,6,2,139.82
21,6,3,116.75
21,6,4,17.85
21,1,5,4.99
21,1,6,4.99
21,1,7,6.44
21,1,8,5.19
21,1,9,5.06
21,1,10,1.85
21,1,11,1.85
21,1,12,1.85
23,6,1,109.62
23,6,2,144.44
23,6,4,65.4
23,6,5,13.73
23,1,7,4.412
23,1,8,4.412
23,1,9,1.394
23,1,10,1.394
23,1,11,1.394
24,6,0,14.71
24,6,1,14.71
24,6,2,14.71
24,6,3,14.71
24,6,4,22.99
24,6,5,22.99
24,6,6,31.98
24,1,7,1.478
24,1,8,1.478
24,1,9,1.478
24,1,10,1.478
24,1,11,1.345
24,1,12,1.345
24,1,13,2.013
24,1,14,2.013
1,6,1,194.04
1,6,2,134.61
1,6,3,154.32
1,6,4,18.61
1,1,5,9.497
1,1,6,6.145
1,1,7,6.88
1,1,8,2.032
1,1,9,2.032
1,1,10,2.032
2,6,0,13.21
2,6,1,115.93
2,6,2,141.67
2,6,3,36.99
2,6,4,21.52
2,6,5,21.52
2,6,6,13.06
2,1,7,1.56
2,1,8,1.56
2,1,9,1.56
2,1,10,5.222
2,1,11,2.221
2,1,12,0.978
2,1,13,0.978
2,1,14,0.978
2,1,15,0.978
2,1,16,0.978
2,1,17,0.978
2,1,18,1.56
2,1,19,1.56
2,1,20,1.56
3,6,1,164.58
3,6,2,164.58
3,1,7,7.048
3,1,8,7.048
3,6,3,136.76
3,6,4,136.76
4,6,1,75.42
4,6,2,75.42
4,6,3,126.34
4,6,4,126.34
4,1,5,4.63
4,1,6,4.63
4,1,7,4.63
4,1,8,4.63
4,1,9,5.89
4,1,10,5.89
5,6,1,149.94
5,6,2,149.94
5,6,3,123.55
5,6,4,123.55
5,6,5,135.89
5,1,6,8.593
5,1,7,8.593
5,1,8,7.231
5,1,9,7.231
5,1,10,7.617
6,6,1,154.11
6,6,2,144.85
6,6,4,141.9
6,6,5,143.9
6,6,6,21.53
6,1,7,2.566
6,1,8,2.566
6,1,9,2.566
6,1,10,8.568
6,1,11,8.376
6,1,12,8.453
7,6,0,104.79
7,6,1,150.62
7,6,2,32.08
7,6,3,32.08
7,6,4,16.76
7,1,5,4.685
7,1,6,4.685
7,1,7,2.685
7,1,8,2.685
7,1,9,2.685
7,1,10,2.685
7,1,11,1.928
7,1,12,1.928
8,6,0,94.28
8,6,3,66.94
8,6,4,66.94
8,6,5,26.64
8,1,6,4.853
8,1,7,4.853
8,1,8,3.912
8,1,9,3.912
8,1,10,3.912
8,1,11,3.912
8,1,12,1.78
8,1,13,1.78
18,6,1,166.14
18,6,3,166.14
18,6,5,166.14
18,1,6,9.231
18,1,7,9.231
18,1,8,9.231
17,6,0,117.49
17,6,1,130.4
17,6,2,47.12
17,6,4,132.02
17,1,6,5.41
17,1,7,5.30
17,1,8,5.83
17,1,9,4.147
17,1,10,4.147
22,6,0,54.14
22,6,1,30.80
22,6,2,30.80
22,6,3,30.80
22,6,5,153.39
22,1,6,1.446
22,1,7,1.446
22,1,8,1.446
22,1,9,1.446
22,1,10,1.446
22,1,11,1.446
22,1,12,1.446
22,1,13,1.446
22,1,14,1.446
