mol_id,atom_type,atom_index,shift
TIC10b,6,0,21.07
TIC10b,6,1,135.54
TIC10b,6,2,128.69
TIC10b,6,3,126.07
TIC10b,6,4,124.58
TIC10b,6,5,127.97
TIC10b,6,6,136.22
TIC10b,6,7,43.47
TIC10b,6,9,150.05
TIC10b,6,10,105.02
TIC10b,6,11,50.22
TIC10b,6,13,51.07
TIC10b,6,14,29.1
TIC10b,6,15,65.47
TIC10b,6,16,140.27
TIC10b,6,17,128.35
TIC10b,6,18,127.64
TIC10b,6,19,126.01
TIC10b,6,20,127.64
TIC10b,6,21,128.35
TIC10b,6,22,159.39
TIC10b,6,25,156.98
TIC10b,6,27,52.67
TIC10b,6,28,49.38
TIC10a,6,0,21.07
TIC10a,6,1,135.54
TIC10a,6,2,128.69
TIC10a,6,3,126.07
TIC10a,6,4,124.58
TIC10a,6,5,127.97
TIC10a,6,6,136.22
TIC10a,6,7,43.47
TIC10a,6,9,159.39
TIC10a,6,11,105.02
TIC10a,6,12,150.05
TIC10a,6,13,29.1
TIC10a,6,14,51.07
TIC10a,6,16,50.22
TIC10a,6,17,65.47
TIC10a,6,18,140.27
TIC10a,6,19,128.35
TIC10a,6,20,127.64
TIC10a,6,21,126.01
TIC10a,6,22,127.64
TIC10a,6,23,128.35
TIC10a,6,25,156.98
TIC10a,6,27,52.67
TIC10a,6,28,49.38
TIC10c,6,0,21.07
TIC10c,6,1,135.54
TIC10c,6,2,128.69
TIC10c,6,3,126.07
TIC10c,6,4,124.58
TIC10c,6,5,127.97
TIC10c,6,6,136.22
TIC10c,6,7,43.47
TIC10c,6,9,52.67
TIC10c,6,10,49.38
TIC10c,6,12,156.98
TIC10c,6,14,150.05
TIC10c,6,15,105.02
TIC10c,6,16,159.39
TIC10c,6,18,50.22
TIC10c,6,20,65.47
TIC10c,6,21,140.27
TIC10c,6,22,128.35
TIC10c,6,23,127.64
TIC10c,6,24,126.01
TIC10c,6,25,127.64
TIC10c,6,26,128.35
TIC10c,6,27,51.07
TIC10c,6,28,29.1
NHP1,6,0,17.5
NHP1,6,1,143.6
NHP1,6,2,114.4
NHP1,6,3,144.2
NHP1,6,5,156.8
NHP1,6,7,157.6
NHP1,6,9,151.1
NHP1,6,10,112.7
NHP1,6,11,139.8
NHP1,6,12,109.7
NHP1,6,13,169.2
NHP1,6,16,24.3
NHP1,6,17,6.6
NHP1,6,18,6.6
NHP1,6,19,119.5
NHP2,6,0,17.5
NHP2,6,1,143.6
NHP2,6,2,114.4
NHP2,6,3,144.2
NHP2,6,5,156.8
NHP2,6,7,24.3
NHP2,6,8,6.6
NHP2,6,9,6.6
NHP2,6,10,119.5
NHP2,6,12,169.2
NHP2,6,14,109.7
NHP2,6,15,139.8
NHP2,6,16,112.7
NHP2,6,17,151.1
NHP2,6,19,157.6
NHP3,6,0,17.5
NHP3,6,1,143.6
NHP3,6,2,114.4
NHP3,6,3,144.2
NHP3,6,5,156.8
NHP3,6,7,119.5
NHP3,6,9,169.2
NHP3,6,11,109.7
NHP3,6,12,139.8
NHP3,6,13,112.7
NHP3,6,14,151.1
NHP3,6,16,157.6
NHP3,6,18,24.3
NHP3,6,19,6.6
NHP3,6,20,6.6
NHP4,6,0,17.5
NHP4,6,1,143.6
NHP4,6,2,114.4
NHP4,6,3,144.2
NHP4,6,5,156.8
NHP4,6,7,24.3
NHP4,6,8,6.6
NHP4,6,9,6.6
NHP4,6,10,119.5
NHP4,6,12,157.6
NHP4,6,14,151.1
NHP4,6,15,112.7
NHP4,6,16,139.8
NHP4,6,17,109.7
NHP4,6,18,169.2
